path,level,prefLabel,synonym,definition,word_count_in_prefLabel,id
symptom/cardiovascular system symptom/undiagnosed cardiac murmur,2,undiagnosed cardiac murmur,[],,3,s0174
symptom/cardiovascular system symptom/blood vessel infection,2,blood vessel infection,[],,3,s0175
symptom/cardiovascular system symptom/hemorrhage,2,hemorrhage,[],A cardiovascular system symptom that is characterized by an acute loss of blood from a damaged blood vessel.,1,s0176
symptom/cardiovascular system symptom/hemorrhage/intracranial hemorrhage,3,intracranial hemorrhage,[],A hemorrhage that is characterized by any bleeding occurring within the skull.,2,s0177
symptom/cardiovascular system symptom/hemorrhage/intracerebral hemorrhage,3,intracerebral hemorrhage,[],A hemorrhage that is characterized by bleeding within the brain tissue itself.,2,s0178
symptom/cardiovascular system symptom/hemorrhage/subdural hemorrhage,3,subdural hemorrhage,['subdural hematoma'],A hemorrhage that is characterized by bleeding that occurs within the skull of head but outside the actual brain tissue.,2,s0179
symptom/cardiovascular system symptom/palpitation,2,palpitation,['abnormal heart beats'],"Palpitation is a cardiovascykar system symptom characterized by an abnormal awareness of the beating of the heart,whether it is too slow, too fast, irregular, or at its normal frequency when excited by violent exertion, strong emotion, or disease.",1,s0180
symptom/cardiovascular system symptom/myocarditis,2,myocarditis,[],doid/symp duplicate,1,s0181
symptom/cardiovascular system symptom/heart failure,2,heart failure,[],,2,s0182
symptom/cardiovascular system symptom/hypergammaglobulinemia,2,hypergammaglobulinemia,[],,1,s0183
symptom/cardiovascular system symptom/vascular alteration,2,vascular alteration,[],,2,s0184
symptom/cardiovascular system symptom/gangrene,2,gangrene,[],,1,s0185
symptom/cardiovascular system symptom/chest hyperemia,2,chest hyperemia,[],Hyperemia of the chest is a cardiovascular system symptom consisting of an excess of blood in the tissues of the chest as from an increased flow of blood due to vasodilation.,2,s0186
symptom/cardiovascular system symptom/lesions in myocardium,2,lesions in myocardium,[],,3,s0187
symptom/cardiovascular system symptom/pericardial effusion,2,pericardial effusion,[],Pericardial effusion is a cardiovascular system symptom where there is an abnormal accumulation of fluid in the pericardial cavity.|doid/symp duplicate,2,s0188
symptom/cardiovascular system symptom/postphlebitic ulcer,2,postphlebitic ulcer,[],,2,s0189
symptom/cardiovascular system symptom/phlebitis,2,phlebitis,['inflammation of a vein'],doid/symp duplicate,1,s0190
symptom/cardiovascular system symptom/arrhythmia,2,arrhythmia,"['fluctuation of heart rate', 'irregular heartbeat', 'dysrhythmia', 'abnormal heart beat', 'heart rhythm symptom', 'abnormal heart rhythm']",Arrhythmia is a cardiovascular system symptom consisting of an alteration in rhythm of the heartbeat either in time or force.,1,s0191
symptom/cardiovascular system symptom/arrhythmia/cardiac fibrillation,3,cardiac fibrillation,[],"An arrhythmia characterized by rapid, irregular, and unsynchronized contraction of muscle fibers within the heart.",2,s0192
symptom/cardiovascular system symptom/arrhythmia/cardiac fibrillation/ventricular fibrillation,4,ventricular fibrillation,['vfib'],"A cardiac fibrillation associated with quivering of the lower chambers of the heart, preventing blood from being pumped and causing cardiac arrest.",2,s0193
symptom/cardiovascular system symptom/arrhythmia/cardiac fibrillation/atrial fibrillation,4,atrial fibrillation,"['auricular fibrillation', 'af', 'afib', 'afib']","A cardiac fibrillation consisting of a very rapid uncoordinated contractions of the atria of the heart resulting in a lack of synchronism between heartbeat and pulse beat.|doid/symp duplicate - reviewed 10/2022, both DO & SYMP",2,s0194
symptom/cardiovascular system symptom/arrhythmia/bradycardia,3,bradycardia,[],Bradycardia is a cardiovascular system symptom consisting of a relatively slow heart action whether physiological or pathological.,1,s0195
symptom/cardiovascular system symptom/arrhythmia/bradycardia/sinus bradycardia,4,sinus bradycardia,[],Sinus bradycardia is a bradycardia where the sinus rhythm is abnormally slow bradycardia consisting of a sinus rhythm at a rate lower than 60 beats per minute.,2,s0196
symptom/cardiovascular system symptom/arrhythmia/bradycardia/ventricular bradycardia,4,ventricular bradycardia,"['ventricular escape rhythm', 'idioventricular rhythm']","A bradycardia associated with the generation of impules in the ventricles when impules from the atria fail to reach them, characterized by an electrocardiogram showing a heart rate below 50 BPM and a broad QRS complex.",2,s0197
symptom/cardiovascular system symptom/arrhythmia/tachycardia,3,tachycardia,[],Tachycardia is a cardiovascular system symptom consisting of a relatively rapid heart action whether physiological (as after exercise) or pathological.,1,s0198
symptom/cardiovascular system symptom/arrhythmia/tachycardia/sinus tachycardia,4,sinus tachycardia,[],Sinus tachycardia is a tachychardia characterized by an abnormally rapid sinus rhythm specifically a sinus rhythm at a rate greater than 100 beats per minute.,2,s0199
symptom/cardiovascular system symptom/arrhythmia/tachycardia/paroxysmal tachycardia,4,paroxysmal tachycardia,[],Paroxysmal tachycardia is a tachycardia that begins and ends abruptly and that is initiated by a premature supraventricular beat originating in the atrium or in the atrioventricular node or bundle of His or by a premature ventricular beat.,2,s0200
symptom/cardiovascular system symptom/arrhythmia/tachycardia/ventricular tachycardia,4,ventricular tachycardia,"['vtach', 'vt']","A tachycardia that is associated with the generation of improper electrical impulses within the ventricles, characterized by an electrocardiogram showing a rate of greater than 120 BPM and three or more wide QRS complexes in a row.",2,s0201
symptom/cardiovascular system symptom/arrhythmia/tachycardia/junctional tachycardia,4,junctional tachycardia,[],Junctional tachycardia is a tachycardia associated with the generation of impulses in a locus in the region of the atrioventricular node.,2,s0202
symptom/urinary system symptom,1,urinary system symptom,[],,3,s0203
